Births,Deaths,Date
254,37,-4070822400000000000
239,18,-4068144000000000000
277,12,-4065724800000000000
255,4,-4063046400000000000
255,2,-4060454400000000000
200,10,-4057776000000000000
190,16,-4055184000000000000
222,3,-4052505600000000000
213,4,-4049827200000000000
236,26,-4047235200000000000
235,53,-4044556800000000000
null,null,-4041964800000000000
307,64,-4039286400000000000
311,38,-4036608000000000000
264,27,-4034188800000000000
242,26,-4031510400000000000
310,10,-4028918400000000000
273,18,-4026240000000000000
231,48,-4023648000000000000
216,55,-4020969600000000000
223,41,-4018291200000000000
242,71,-4015699200000000000
209,48,-4013020800000000000
239,75,-4010428800000000000
272,52,-4007750400000000000
263,42,-4005072000000000000
266,33,-4002652800000000000
285,34,-3999974400000000000
246,15,-3997382400000000000
196,8,-3994704000000000000
191,1,-3992112000000000000
193,3,-3989433600000000000
221,5,-3986755200000000000
250,44,-3984163200000000000
252,18,-3981484800000000000
236,19,-3978892800000000000
244,37,-3976214400000000000
257,29,-3973536000000000000
276,47,-3971030400000000000
208,36,-3968352000000000000
240,14,-3965760000000000000
224,6,-3963081600000000000
206,9,-3960489600000000000
269,17,-3957811200000000000
245,3,-3955132800000000000
248,8,-3952540800000000000
245,27,-3949862400000000000
256,27,-3947270400000000000
303,23,-3944592000000000000
274,13,-3941913600000000000
292,13,-3939494400000000000
260,11,-3936816000000000000
296,13,-3934224000000000000
280,20,-3931545600000000000
245,15,-3928953600000000000
251,9,-3926275200000000000
237,25,-3923596800000000000
283,42,-3921004800000000000
265,29,-3918326400000000000
267,28,-3915734400000000000
336,45,-3913056000000000000
293,53,-3910377600000000000
311,48,-3907958400000000000
253,48,-3905280000000000000
305,41,-3902688000000000000
266,27,-3900009600000000000
252,33,-3897417600000000000
216,39,-3894739200000000000
271,39,-3892060800000000000
254,38,-3889468800000000000
297,32,-3886790400000000000
298,16,-3884198400000000000
311,10,-3881520000000000000
312,6,-3878841600000000000
305,11,-3876422400000000000
312,57,-3873744000000000000
294,36,-3871152000000000000
268,6,-3868473600000000000
250,3,-3865881600000000000
264,5,-3863203200000000000
262,12,-3860524800000000000
278,11,-3857932800000000000
246,11,-3855254400000000000
273,8,-3852662400000000000
283,10,-3849984000000000000
291,2,-3847305600000000000
276,0,-3844800000000000000
305,2,-3842121600000000000
313,3,-3839529600000000000
264,3,-3836851200000000000
269,1,-3834259200000000000
261,0,-3831580800000000000
312,3,-3828902400000000000
299,7,-3826310400000000000
310,9,-3823632000000000000
373,5,-3821040000000000000
403,9,-3818361600000000000
389,12,-3815683200000000000
406,20,-4097260800000000000
