,Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region
0,1,"
cristiano",92.0,485200000,8700000,485200000,0.013,485200000,485200000,Spain
1,2,kyliejenner,91.0,370700000,8199999,370700000,0.014,370700000,370700000,United States
2,3,"
leomessi",90.0,363900000,6700000,363900000,0.01,363900000,363900000,
3,4,"
selenagomez",93.0,348800000,6100000,348800000,0.005,348800000,348800000,United States
4,5,"
therock",91.0,339400000,1800000,339400000,0.003,339400000,339400000,United States
5,6,"
arianagrande",92.0,333000000,3700000,333000000,0.009,333000000,333000000,United States
6,7,"
kimkardashian",91.0,330700000,3500000,330700000,0.005,330700000,330700000,United States
7,8,"
beyonce",92.0,276100000,3600000,276100000,0.008,276100000,276100000,United States
8,9,"
khloekardashian",89.0,273900000,2400000,273900000,0.002,273900000,273900000,United States
9,10,"
justinbieber",91.0,260000000,1900000,260000000,0.007,260000000,260000000,Canada
10,11,"
kendalljenner",90.0,258899999,5500000,258899999,0.012,258899999,258899999,United States
11,11000,"
natgeo",91.0,241100000,298900,241100000,0.001,241100000,241100000,United States
12,13,"
nike",90.0,239200000,316000,239200000,0.001,239200000,239200000,United States
13,14,"
taylorswift",91.0,226100000,2400000,226100000,0.015,226100000,226100000,United States
14,15,"
jlo",89.0,223100000,1700000,223100000,0.005,223100000,223100000,United States
15,16,"
virat.kohli",87.0,215900000,3500000,215900000,0.013,215900000,215900000,
16,17,"
nickiminaj",90.0,202700000,2000000,202700000,0.004,202700000,202700000,United States
17,18,"
kourtneykardash",89.0,199400000,1800000,199400000,0.007,199400000,199400000,United States
18,19,"
mileycyrus",89.0,183600000,1300000,183600000,0.004,183600000,183600000,
19,20,"
neymarjr",90.0,179400000,2700000,179400000,0.012,179400000,179400000,Brazil
20,21,"
katyperry",92.0,173300000,714800,173300000,0.002,173300000,173300000,
21,22,"
kevinhartreal",88.0,154200000,498000,154200000,0.001,154200000,154200000,United States
22,23,"
zendaya",87.0,153300000,5900000,153300000,0.049,153300000,153300000,United States
23,24,"
iamcardib",75.0,141300000,3100000,141300000,0.015,141300000,141300000,United States
24,25,"
ddlovato",88.0,140600000,1100000,140600000,0.002,140600000,140600000,United States
25,26,"
badgalriri",88.0,136300000,3700000,136300000,0.051,136300000,136300000,United States
26,27,"
kingjames",86.0,133699999,2100000,133699999,0.008,133699999,133699999,
27,28,"
realmadrid",90.0,125800000,989600,125800000,0.005,125800000,125800000,Spain
28,29,"
theellenshow",87.0,125500000,412700,125500000,0.001,125500000,125500000,United States
29,30,"
champagnepapi",85.0,121400000,1700000,121400000,0.012,121400000,121400000,Netherlands
30,31,"
chrisbrownofficial",86.0,121200000,450000,121200000,0.002,121200000,121200000,United States
31,32,"
fcbarcelona",90.0,112500000,1100000,112500000,0.007,112500000,112500000,
32,33,"
billieeilish",73.0,106400000,8400000,106400000,0.047,106400000,106400000,
33,34,"
gal_gadot",85.0,88000000,1400000,88000000,0.008,88000000,88000000,United States
34,35,"
dualipa",74.0,87300000,2100000,87300000,0.017,87300000,87300000,United Kingdom
35,36,"
vindiesel",88.0,83200000,1400000,83200000,0.006,83200000,83200000,United States
